epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,45278.510691504795,0.42470389170896783,0.4227713148994505,148.66762586711178,0.6441351888667992,0.632614692866008
2,975842.5437352908,0.6628595600676819,0.6616881228147982,83.73537162189218,0.6361829025844931,0.5393134986788237
3,148.97674076246528,0.6979695431472082,0.6966442925989581,31.679035255022598,0.7117296222664016,0.7019589504527959
4,150764.295182692,0.744077834179357,0.7439018271017385,91.57433272071671,0.7634194831013916,0.7547839290904497
5,822.0969634933521,0.7749576988155669,0.7741690699913049,86.62020733721451,0.757455268389662,0.7491850609876526
6,748.7802035014843,0.7884940778341794,0.7882989852588967,95.68932024005868,0.7415506958250497,0.7332351194823542
7,665.2367206784675,0.7846869712351946,0.7846797804680664,84.68819463892912,0.7276341948310139,0.7199518396867838
8,354363.4704954675,0.794839255499154,0.794277938004348,68.83312694405467,0.8151093439363817,0.8051846864620774
9,643.1345842575462,0.7931472081218274,0.7927719986025737,74.8997410419684,0.7594433399602386,0.75096769200014
10,591.5078314871554,0.8379864636209814,0.8380029904646716,71.25083219554742,0.7634194831013916,0.7455088977719315
11,3505.6240511855294,0.8362944162436549,0.8362607146577301,225.32216753495143,0.7713717693836978,0.7630249010542315
12,691.9449809848153,0.8371404399323181,0.8369904566782074,226.15879513112972,0.73558648111332,0.709957113938812
13,467.1732679744158,0.8481387478849408,0.8484530414056604,214.7969452875035,0.7912524850894632,0.7939146375068119
14,24.774209226751086,0.8523688663282571,0.8527498737602498,217.21523576133532,0.7813121272365805,0.7739897001727546
15,216.3512699618154,0.8743654822335025,0.8743838752448402,214.63795472708185,0.7852882703777336,0.7996768791285201
